url,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,https,DomainRegLen,Favicon,NonStdPort,HTTPSDomainURL,RequestURL,AnchorURL,LinksInScriptTags,ServerFormHandler,InfoEmail,AbnormalURL,WebsiteForwarding,StatusBarCust,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,PageRank,GoogleIndex,LinksPointingToPage,StatsReport,Label
https://usps.searchgo.top/go/TrackConfirmAction,1,1,1,1,1,1,0,1,1,-1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1
https://supportteam3015623.io.vn/,1,1,1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1
https://bt-109056.weeblysite.com/,1,1,1,1,1,-1,0,1,1,1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://cloudflare-ipfs.com/ipfs/bafybeiafph6hwa5bpehbj7go5zljz36xqm6mlkglqrwyp4s46jikvnz4ge,1,-1,1,1,1,-1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1
https://northlandpaddlers.org/blog/Meta/FGHJSGHDFGHKSDHGJKSGHDF/qsgdcghjqsdhgjqgshjdghjqsghdj/,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://sp889978.sitebeat.crazydomains.com/,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,-1,-1,-1,1,-1
https://bafybeibm2glzqxm4qvza6hiafid2bpzkcwzy37fpxkw5fpgk6k6qskajja.ipfs.cf-ipfs.com/jooochogwindidi2.html,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://loading1.bitbucket.io/,1,1,1,1,1,1,0,1,1,-1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://freightoinx0006.firebaseapp.com/,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://pub-d6c57ec947cc47d0af825c40d703156e.r2.dev/troublesh.html,1,0,1,1,1,-1,0,1,1,-1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://cloudflare-ipfs.com/ipfs/bafybeibgv2jt22sw2vrk3f42psbhx6bpnbtusombiywuhjn42vi3icf42y,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://pub-b0cd93aef6c9467c9308f6a576708684.r2.dev/index.html,1,0,1,1,1,-1,0,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://pulsadara.xyz/wp-content/uploads/2023/rshMicro365/officeonline/cgi-bin1/?lt_utm_source=lt_admin_share_link,1,-1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://obdokj.webwave.dev/,1,1,1,1,1,1,0,1,1,1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://bafybeigl25wfzus6zb6ubcpe6s23jlfvfzoe35cqjsw7pvbeldm3gckpnu.ipfs.cf-ipfs.com,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://uspaagqf.top/go/TrackConfirmAction,1,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1
https://attservicedomainsite.weebly.com/,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,-1
https://helpmettaa.web.app/,1,1,1,1,1,1,0,1,1,-1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://newinfo.godaddysites.com/,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://tinyurl.com/4z4sfrm3,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1
https://boa-user.web.app/,1,1,1,1,1,-1,0,1,1,-1,1,1,0,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
https://ipfs.io/ipfs/bafybeihhyil2rbmgrs2kp65qtbjkiwjv7v3waho5vym65hdbp6cvzy5uza,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,0,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1
http://ff.member.gareza.vn/d6ihwcitam2tjo9zoicj2yrx4mdwbmt4b11swmeicn52iffz1hbll2qpdle2gpqkidtcoy5ychymop5zle2mvn0gbmpg3ld9j13a_index,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1
https://tinyurl.com/3nr66svs,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,-1
http://43.156.75.220/ServiceLogin?passive=1209600&amp;continue=https://accounts.google.com/?&amp;xrealip=35.203.255.107&amp;followup=https://accounts.google.com/?&amp;xrealip=35.203.255.107,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,0,1,1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,-1
https://new.express.adobe.com/webpage/pSt3jgsHcIe9T,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1
